timestamp	instrument	run_id	account_qty	journal_qty	delta	classification	outcome
2026-04-08T13:42:00.696047+00:00	MNQ	49a42fcce41446c684890cf97d07f49b	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:42:01.055427+00:00	MNQ	d5f1301efc7f4c40b3c6fde30e87e003	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:42:04.349412+00:00	MNQ	0c27d2236e014f26b176719ab3f19764	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:43:00.654376+00:00	MNQ	761bd7b3ebd0471abeef7594d39dbc4e	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:43:00.655393+00:00	MNQ	bcee97bebfd24ae69f8226a5dda8c027	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:43:00.655393+00:00	MNQ	3fb902688d504716a89c09edd5d645a5	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:43:00.655393+00:00	MNQ	53062f5338d74a56934dd9991b9475dc	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:43:00.655393+00:00	MNQ	3fb902688d504716a89c09edd5d645a5	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:43:00.655393+00:00	MNQ	53062f5338d74a56934dd9991b9475dc	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:43:00.655393+00:00	MNQ	3fb902688d504716a89c09edd5d645a5	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:44:00.616720+00:00	MNQ	49a42fcce41446c684890cf97d07f49b	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:44:00.808325+00:00	MNQ	3fb902688d504716a89c09edd5d645a5	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:44:00.963104+00:00	MNQ	d5f1301efc7f4c40b3c6fde30e87e003	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:44:41.833971+00:00	MNQ	0c27d2236e014f26b176719ab3f19764	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:45:00.558810+00:00	MNQ	53062f5338d74a56934dd9991b9475dc	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:45:00.585282+00:00	MNQ	761bd7b3ebd0471abeef7594d39dbc4e	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:45:00.586444+00:00	MNQ	bcee97bebfd24ae69f8226a5dda8c027	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:46:00.553487+00:00	MNQ	3fb902688d504716a89c09edd5d645a5	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:46:00.627996+00:00	MNQ	761bd7b3ebd0471abeef7594d39dbc4e	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:46:00.629404+00:00	MNQ	49a42fcce41446c684890cf97d07f49b	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:46:00.749653+00:00	MNQ	53062f5338d74a56934dd9991b9475dc	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:46:00.803417+00:00	MNQ	bcee97bebfd24ae69f8226a5dda8c027	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:46:00.901865+00:00	MNQ	d5f1301efc7f4c40b3c6fde30e87e003	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T13:46:11.960933+00:00	MNQ	0c27d2236e014f26b176719ab3f19764	1	2	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	UNRESOLVED
2026-04-08T13:46:32.803261+00:00	UNKNOWN	bcee97bebfd24ae69f8226a5dda8c027	0	2	-2	PERSISTENT_MISMATCH_JOURNAL_HIGH	UNRESOLVED
2026-04-08T15:50:34.006337+00:00	UNKNOWN	49a42fcce41446c684890cf97d07f49b	0	2	-2	PERSISTENT_MISMATCH_JOURNAL_HIGH	UNRESOLVED
2026-04-08T17:02:17.818177+00:00	MNG	49a42fcce41446c684890cf97d07f49b	2	0	2	PERSISTENT_MISMATCH_JOURNAL_LOW	STUCK
2026-04-08T17:02:17.997384+00:00	MNG	761bd7b3ebd0471abeef7594d39dbc4e	2	0	2	PERSISTENT_MISMATCH_JOURNAL_LOW	STUCK
2026-04-08T17:02:18.593960+00:00	UNKNOWN	0c27d2236e014f26b176719ab3f19764	2	0	2	PERSISTENT_MISMATCH_JOURNAL_LOW	STUCK
2026-04-08T17:02:44.868916+00:00	MNG	49a42fcce41446c684890cf97d07f49b	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:02:45.106975+00:00	MNG	761bd7b3ebd0471abeef7594d39dbc4e	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:03:02.805721+00:00	MNG	3fb902688d504716a89c09edd5d645a5	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:03:02.805721+00:00	MNG	bcee97bebfd24ae69f8226a5dda8c027	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:03:02.805721+00:00	MNG	53062f5338d74a56934dd9991b9475dc	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:03:03.031165+00:00	MNG	d5f1301efc7f4c40b3c6fde30e87e003	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:04:00.496478+00:00	MNG	761bd7b3ebd0471abeef7594d39dbc4e	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:04:00.825220+00:00	MNG	49a42fcce41446c684890cf97d07f49b	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:04:06.120481+00:00	MNG	d5f1301efc7f4c40b3c6fde30e87e003	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:04:07.669624+00:00	MNG	0c27d2236e014f26b176719ab3f19764	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
2026-04-08T17:05:00.543701+00:00	MNG	bcee97bebfd24ae69f8226a5dda8c027	2	3	-1	PERSISTENT_MISMATCH_JOURNAL_HIGH	STUCK
